나파, 170, 50, 17, 저체중
나마, 195, 43, 11, 저체중
타자, 141, 61, 31, 비만
가자, 181, 64, 20, 정상
바자, 168, 41, 15, 저체중
자다, 147, 78, 36, 비만
마차, 151, 47, 21, 정상
사마, 167, 49, 18, 저체중
마자, 150, 76, 34, 비만
타차, 148, 98, 45, 비만
사라, 176, 67, 22, 정상
나아, 171, 82, 28, 과체중
나라, 163, 47, 18, 저체중
사마, 194, 69, 18, 저체중
차사, 186, 52, 15, 저체중
카자, 147, 90, 42, 비만
자타, 180, 88, 27, 과체중
아카, 167, 42, 15, 저체중
라바, 174, 60, 20, 정상
파파, 172, 75, 25, 과체중
타자, 161, 89, 34, 비만
하하, 162, 93, 35, 비만
다카, 184, 92, 27, 과체중
라하, 145, 54, 26, 과체중
아하, 183, 42, 13, 저체중
아다, 190, 82, 23, 정상
바하, 156, 86, 35, 비만
파나, 194, 57, 15, 저체중
라자, 172, 70, 24, 정상
다다, 151, 81, 36, 비만
타자, 167, 57, 20, 정상
사하, 197, 95, 24, 정상
바자, 158, 67, 27, 과체중
파나, 153, 90, 38, 비만
카자, 142, 57, 28, 과체중
파하, 175, 98, 32, 비만
자아, 152, 79, 34, 비만
바바, 143, 99, 48, 비만
차다, 199, 69, 17, 저체중
타아, 146, 69, 32, 비만
자카, 173, 45, 15, 저체중
마하, 141, 43, 22, 정상
아다, 182, 62, 19, 저체중
파나, 159, 47, 19, 저체중
가카, 162, 70, 27, 과체중
나카, 146, 66, 31, 비만
자나, 168, 76, 27, 과체중
타하, 165, 83, 30, 비만
라차, 182, 73, 22, 정상
다하, 156, 48, 20, 정상
차차, 179, 61, 19, 저체중
아하, 154, 50, 21, 정상
가가, 177, 69, 22, 정상
파라, 155, 67, 28, 과체중
사타, 174, 54, 18, 저체중
나라, 158, 79, 32, 비만
다카, 181, 56, 17, 저체중
다자, 177, 74, 24, 정상
아사, 182, 76, 23, 정상
파바, 196, 53, 14, 저체중
다다, 146, 84, 39, 비만
차카, 195, 53, 14, 저체중
파하, 167, 72, 26, 과체중
사다, 149, 79, 36, 비만
하카, 180, 50, 15, 저체중
타라, 181, 91, 28, 과체중
아아, 173, 46, 15, 저체중
하다, 189, 57, 16, 저체중
가파, 192, 86, 23, 정상
바아, 143, 93, 45, 비만
타가, 192, 72, 20, 정상
자타, 172, 93, 31, 비만
사자, 165, 72, 26, 과체중
나다, 153, 46, 20, 정상
하타, 164, 95, 35, 비만
라가, 198, 53, 14, 저체중
라라, 183, 51, 15, 저체중
자라, 170, 84, 29, 과체중
하마, 198, 75, 19, 저체중
라자, 158, 57, 23, 정상
다자, 156, 45, 18, 저체중
아가, 193, 40, 11, 저체중
가가, 195, 98, 26, 과체중
아가, 140, 90, 46, 비만
바사, 145, 86, 41, 비만
차차, 153, 67, 29, 과체중
나바, 180, 73, 23, 정상
나마, 173, 93, 31, 비만
